#================================================================#
# SMARTS2 -- Algorithms and performance assessment               #
#================================================================#
#
# APPENDIX: Extraterrestrial spectrum and absorption coefficients
#           at their reference temperature
#
# λ      E0nλ       Awλ        Aoλ      Anλ  
600    1.7762   3.47E-04   1.38E-01    0.83 
601    1.7435   1.01E-04   1.39E-01    0.80  
602    1.7192   5.49E-05   1.39E-01    0.68 
603    1.7809   1.35E-05   1.39E-01    0.49 
604    1.7734   3.29E-06   1.39E-01    0.39 
605    1.7750   0.00E+00   1.37E-01    0.378
606    1.7640   0.00E+00   1.36E-01    0.375
607    1.7620   0.00E+00   1.34E-01    0.395
608    1.7610   0.00E+00   1.32E-01    0.413
609    1.7239   0.00E+00   1.30E-01    0.419
610    1.7520   0.00E+00   1.27E-01    0.470 
611    1.7296   0.00E+00   1.25E-01    0.670 
612    1.7025   0.00E+00   1.22E-01    0.835
613    1.7223   0.00E+00   1.20E-01    0.750 
614    1.6523   0.00E+00   1.18E-01    0.660 
615    1.7196   0.00E+00   1.16E-01    0.660 
616    1.6232   0.00E+00   1.14E-01    0.741
617    1.6366   0.00E+00   1.12E-01    0.680 
618    1.7068   0.00E+00   1.11E-01    0.540 
619    1.6832   0.00E+00   1.09E-01    0.560 
620    1.7050   0.00E+00   1.08E-01    0.589
621    1.7162   0.00E+00   1.07E-01    0.520
622    1.7006   0.00E+00   1.05E-01    0.495
623    1.6628   0.00E+00   1.04E-01    0.472
624    1.6236   0.00E+00   1.03E-01    0.450 
625    1.6353   9.42E-07   1.01E-01    0.432
626    1.7009   1.51E-05   1.00E-01    0.420 
627    1.6982   1.29E-04   9.87E-02    0.416
628    1.6607   3.36E-04   9.73E-02    0.395
629    1.6580   2.30E-04   9.58E-02    0.387
630    1.6444   9.55E-05   9.43E-02    0.379
631    1.6276   2.28E-05   9.29E-02    0.371
632    1.6706   2.63E-04   9.15E-02    0.362
633    1.6648   1.25E-04   9.00E-02    0.355
634    1.6340   6.27E-05   8.84E-02    0.350 
635    1.6236   8.93E-05   8.68E-02    0.347
636    1.6257   6.20E-05   8.53E-02    0.344
637    1.6606   6.48E-05   8.36E-02    0.341
638    1.6550   1.97E-05   8.20E-02    0.338
639    1.6530   2.83E-05   8.03E-02    0.335
640    1.6094   2.36E-05   7.87E-02    0.332
641    1.5836   3.27E-05   7.71E-02    0.331
642    1.6121   2.33E-05   7.56E-02    0.330
